"","member","ID.match","Location","Tax"
"1",1,"UAE18165.1","AG","ENNEVENT"
"2",1,"UAE18182.1","AG","ECSEPULC"
"3",1,"UAE18209.1","AG","ECSEPULC"
"4",1,"UAE18272.1","GoO","ECSEPULC"
"5",1,"UAE18286.1","GoO","EVIOGUTT"
"6",1,"UAE18290.1","GoO","EVIOGUTT"
"7",1,"UAE18319.1","GoO","ENNEVENT"
"8",1,"UAE18321.1","GoO","ENNEVENT"
"9",1,"UAE18324.1","GoO","ENNEVENT"
"10",1,"UAE18330.1","GoO","HETEVULG"
"11",1,"UAE18332.1","GoO","CORYANOM"
"12",1,"UAE18336.1","GoO","CORYANOM"
"13",1,"UAE18340.1","GoO","HETEVULG"
"14",1,"UAE18388.1","GoO","EVIOGUTT"
"15",1,"UAE18394.1","GoO","ANTEADEN"
"16",1,"UAE18404.1","GoO","HETEVULG"
"17",1,"UAE18408.1","GoO","CORYANOM"
"18",1,"UAE18409.1","GoO","ENNEVENT"
"19",1,"UAE18413.1","GoO","ENNEVENT"
"20",1,"UAE18418.1","GoO","ECSEPULC"
"21",1,"UAE18453.1","GoO","ECSEPULC"
"22",1,"UAE18456.1","GoO","ANTEADEN"
"23",1,"UAE18478.1","GoO","ENNEVENT"
"24",1,"UAE18482.1","GoO","ENNEVENT"
"25",1,"UAE18498.1","GoO","ECSEPULC"
"26",1,"UAE18499.1","GoO","ECSEPULC"
"27",1,"UAE18514.1","GoO","EVIOGUTT"
"28",1,"UAE18518.1","GoO","CORYANOM"
"29",1,"UAE18549.1","GoO","HETEVULG"
"30",1,"UAE18568.1","GoO","EVIOGUTT"
"31",1,"UAE18575.1","GoO","EVIOGUTT"
"32",1,"UAE18635.1","GoO","ENNEVENT"
"33",1,"UAE18643.1","GoO","CORYANOM"
"34",1,"UAE18645.1","GoO","CORYANOM"
"35",1,"UAE18658.1","GoO","HETEVULG"
"36",1,"UAE18682.1","GoO","ECSEPULC"
"37",1,"UAE18691.1","GoO","ANTEADEN"
"38",1,"UAE18692.1","GoO","ANTEADEN"
"39",1,"UAE18699.1","GoO","ANTEADEN"
"40",1,"UAE18725.1","GoO","HETEVULG"
"41",1,"UAE18738.1","GoO","CORYANOM"
"42",1,"UAE18744.1","GoO","EVIOGUTT"
"43",1,"UAE18747.1","GoO","CORYANOM"
"44",1,"UAE18758.1","GoO","ECSEPULC"
"45",1,"UAE18768.1","GoO","ANTEADEN"
"46",1,"UAE18769.1","GoO","ANTEADEN"
"47",1,"UAE18772.1","GoO","ANTEADEN"
"48",1,"UAE18798.1","GoO","CORYANOM"
"49",1,"UAE18804.1","GoO","HETEVULG"
"50",1,"UAE18816.1","GoO","ECSEPULC"
"51",1,"UAE18817.1","GoO","ECSEPULC"
"52",1,"UAE18818.1","GoO","EVIOGUTT"
"53",1,"UAE18821.1","GoO","ANTEADEN"
"54",1,"UAE18822.1","GoO","ANTEADEN"
"55",1,"UAE18840.1","GoO","EVIOGUTT"
"56",1,"UAE18841.1","GoO","EVIOGUTT"
"57",1,"UAE18854.1","GoO","ECSEPULC"
"58",1,"UAE18856.1","GoO","ECSEPULC"
"59",1,"UAE18859.1","GoO","ENNEVENT"
"60",1,"UAE18861.1","GoO","ENNEVENT"
"61",1,"UAE18863.1","GoO","HETEVULG"
"62",1,"UAE18867.1","GoO","CORYANOM"
"63",1,"UAE18009.1","AG","ENNEVENT"
"64",1,"UAE18211.1","AG","CORYANOM"
"65",2,"UAE18141.1","AG","ECSEPULC"
"66",2,"UAE18142.1","AG","ECSEPULC"
"67",2,"UAE18145.1","AG","ECSEPULC"
"68",2,"UAE18146.1","AG","ECSEPULC"
"69",3,"UAE18055.1","AG","ECSEPULC"
"70",3,"UAE18087.1","AG","ENNEVENT"
"71",3,"UAE18133.1","AG","CORYANOM"
"72",3,"UAE18153.1","AG","ENNEVENT"
"73",3,"UAE18160.1","AG","CORYANOM"
"74",3,"UAE18185.1","AG","CORYANOM"
"75",3,"UAE18205.1","AG","ENNEVENT"
"76",3,"UAE18215.1","AG","CORYANOM"
"77",3,"UAE18219.1","AG","ENNEVENT"
"78",3,"UAE18250.1","AG","CORYANOM"
"79",4,"UAE18063.1","AG","CORYANOM"
"80",4,"UAE18104.1","AG","ENNEVENT"
"81",4,"UAE18005.1","AG","CORYANOM"
