"","Family","Genus","Species","AG","GoO"
"1","Apogonidae","Apogon","coccineus",6,10
"2","Apogonidae","Apogonichthyoides","taeniatus",2,0
"3","Apogonidae","Cheilodipterus","novemstriatus",2,9
"4","Apogonidae","Cheilodipterus","persicus",0,1
"5","Apogonidae","Fowleria","variegata",5,1
"6","Apogonidae","Ostorhinchus","cyanosoma",0,15
"7","Apogonidae","Ostorhinchus","fleurieu",0,30
"8","Batrachoididae","Colletteichthys","occidentalis",6,0
"9","Blenniidae","Antennablennius","adenensis",0,54
"10","Blenniidae","Ecsenius","pulcher",8,97
"11","Blenniidae","Laiphognathus","multimaculatus",1,0
"12","Bythitidae","Dinematichthys","iluocoeteoides",5,0
"13","Gobiidae","Asterropteryx","semipunctata",0,2
"14","Gobiidae","Callogobius","bifasciatus",2,0
"15","Gobiidae","Callogobius","speA",0,3
"16","Gobiidae","Coryogalops","anomalus",65,33
"17","Gobiidae","Eviota","guttata",0,69
"18","Gobiidae","Eviota","punyit",0,12
"19","Gobiidae","Favonigobius","melanobranchus",1,0
"20","Gobiidae","Fusigobius","inframaculatus",0,3
"21","Gobiidae","Gnatholepis","caudimaculata",0,14
"22","Gobiidae","Gobiodon","reticulatus",0,2
"23","Gobiidae","Hetereleotris","vulgaris",0,405
"24","Gobiidae","Istigobius","decoratus",0,15
"25","Gobiidae","Priolepis","cincta",0,4
"26","Gobiidae","Priolepis","randalli",0,2
"27","Gobiidae","Priolepis","semidoliata",0,10
"28","Gobiidae","Trimma","corallinum",0,11
"29","Muraenidae","Gymnothorax","speA",0,12
"30","Ostraciidae","Ostracion","cubicus",0,3
"31","Pomacanthidae","Pomacanthus","maculosus",7,0
"32","Pomacentridae","Chromis","flavaxilla",0,19
"33","Pomacentridae","Chromis","xanthopterygius",0,3
"34","Pomacentridae","Neopomacentrus","cyanomos",0,38
"35","Pomacentridae","Neopomacentrus","miryae",0,38
"36","Pomacentridae","Neopomacentrus","sindensis",0,6
"37","Pomacentridae","Pomacentrus","aquilus",3,0
"38","Pomacentridae","Pomacentrus","leptus",0,5
"39","Pomacentridae","Pomacentrus","trichrourus",5,0
"40","Pseudochromidae","Pseudochromis","aldabraensis",0,4
"41","Pseudochromidae","Pseudochromis","linda",1,0
"42","Pseudochromidae","Pseudochromis","nigrovittatus",2,1
"43","Pseudochromidae","Pseudochromis","persicus",1,0
"44","Serranidae","Cephalopholis","hemistiktos",2,2
"45","Syngnathidae","Corythoichthys","flavofasciata",0,5
"46","Syngnathidae","Doryrhamphus","excisus",0,3
"47","Tripterygiidae","Enneapterygius","ventermaculus",131,262
"48","Tripterygiidae","Helcogramma","fuscopinna",0,134
