"","Family","Genus","Species"
"1","Blenniidae","Antennablennius","speA"
"2","Blenniidae","Antennablennius","speB"
"3","Apogonidae","Apogon","coccineus"
"4","Apogonidae","Apogon","speA"
"5","Apogonidae","Apogonichthyoides","taeniatus"
"6","Gobiidae","Asterropteryx","semipunctata"
"7","Gobiidae","Callogobius","bifasciatus"
"8","Gobiidae","Callogobius","speA"
"9","Serranidae","Cephalopholis","hemistiktos"
"10","Apogonidae","Cheilodipterus","novemstriatus"
"11","Apogonidae","Cheilodipterus","persicus"
"12","Pomacentridae","Chromis","flavaxilla"
"13","Pomacentridae","Chromis","miryae"
"14","Pomacentridae","Chromis","xanthopterygius"
"15","Blenniidae","Cirripectes","filamentosus"
"16","Batrachoididae","Colletteichthys","occidentalis"
"17","Batrachoididae","Colletteichthys","spA"
"18","Gobiidae","Coryogalops","anomalus"
"19","Syngnathidae","Corythoichthys","speA"
"20","Bythitidae","Dinematichthys","iluocoeteoides"
"21","Syngnathidae","Doryrhamphus","excisus"
"22","Syngnathidae","Doryrhamphus","speA"
"23","Blenniidae","Ecsenius","pulcher"
"24","Tripterygiidae","Enneapterygius","ventermaculus"
"25","Gobiidae","Eviota","guttata"
"26","Gobiidae","Eviota","punyit"
"27","Gobiidae","Favonigobius","melanobranchus"
"28","Apogonidae","Fowleria","variegata"
"29","Gobiidae","Fusigobius","inframaculatus"
"30","Gobiidae","Gnatholepis","speA"
"31","Gobiidae","Gobiodon","reticulatus"
"32","Muraenidae","Gymnothorax","speA"
"33","Tripterygiidae","Helcogramma","fuscopinna"
"34","Gobiidae","Hetereleotris","vulgaris"
"35","Gobiidae","Istigobius","speA"
"36","Pomacentridae","Neopomacentrus","cyanomos"
"37","Pomacentridae","Neopomacentrus","miryae"
"38","Pomacentridae","Neopomacentrus","sindensis"
"39","Blenniidae","Omobranchus","spA"
"40","Apogonidae","Ostorhinchus","cyanosoma"
"41","Apogonidae","Ostorhinchus","fleurieu"
"42","Ostraciidae","Ostracion","cubicus"
"43","Pomacentridae","Pomacentrus","aquilus"
"44","Pomacentridae","Pomacentrus","leptus"
"45","Pomacanthidae","Pomacanthus","maculosus"
"46","Pomacentridae","Pomacentrus","trichrourus"
"47","Gobiidae","Priolepis","cincta"
"48","Gobiidae","Priolepis","randalli"
"49","Gobiidae","Priolepis","semidoliata"
"50","Gobiidae","Priolepis","speA"
"51","Pseudochromidae","Pseudochromis","aldabraensis"
"52","Pseudochromidae","Pseudochromis","linda"
"53","Pseudochromidae","Pseudochromis","nigrovittatus"
"54","Pseudochromidae","Pseudochromis","persicus"
"55","Gobiidae","Trimma","speA"
